Q:
568
n:
30
Demands:
1	94
2	92
3	91
4	86
5	58
6	62
7	51
8	50
9	83
10	90
11	65
12	73
13	84
14	99
15	70
16	84
17	95
18	100
19	80
20	75
21	67
22	53
23	71
24	64
25	82
26	85
27	67
28	65
29	67
30	69
Cost-matrix:
0	776	179	717	285	364	265	172	270	493	206	968	413	863	852	105	187	297	178	692	666	600	225	782	689	782	432	353	662	565	642	
776	0	608	256	535	675	563	621	697	596	616	248	815	177	154	709	635	602	705	85	133	182	614	104	197	94	785	577	120	322	134	
179	608	0	538	200	373	97	15	192	459	59	816	365	712	698	166	168	268	129	524	493	439	194	626	545	624	477	313	491	442	475	
717	256	538	0	554	743	460	546	556	713	521	493	631	432	409	682	630	643	595	232	168	286	624	354	401	344	864	641	202	465	238	
285	535	200	554	0	207	259	213	389	262	254	699	563	594	585	191	106	96	326	455	450	353	80	520	415	521	327	122	436	283	406	
364	675	373	743	207	0	452	382	560	151	431	787	731	687	684	263	208	113	480	605	618	503	179	633	512	637	122	103	596	365	561	
265	563	97	460	259	452	0	98	152	520	61	787	317	686	670	263	256	342	142	481	439	408	276	596	532	593	563	380	444	451	435	
172	621	15	546	213	382	98	0	180	471	51	829	353	726	712	167	176	279	114	537	504	452	204	639	560	638	485	325	504	457	488	
270	697	192	556	389	560	152	180	0	650	136	929	174	831	813	322	353	458	93	617	568	553	383	739	681	735	658	505	578	603	574	
493	596	459	713	262	151	520	471	650	0	515	670	823	575	577	389	316	201	580	537	566	442	279	536	413	541	208	147	539	274	501	
206	616	59	521	254	431	61	51	136	515	0	834	309	732	717	216	226	326	92	533	495	455	253	643	572	641	535	370	497	479	486	
968	248	816	493	699	787	787	829	929	670	834	0	1056	106	118	887	805	743	925	316	378	379	777	191	285	194	877	704	359	428	356	
413	815	365	631	563	731	317	353	174	823	309	1056	0	964	944	484	524	631	253	741	682	692	555	871	828	866	825	678	699	763	702	
863	177	712	432	594	687	686	726	831	575	732	106	964	0	24	781	699	639	823	228	296	278	672	93	180	99	780	601	271	325	262	
852	154	698	409	585	684	670	712	813	577	717	118	944	24	0	772	690	633	808	207	274	262	663	74	174	79	780	597	250	321	243	
105	709	166	682	191	263	263	167	322	389	216	887	484	781	772	0	87	192	233	626	609	529	122	704	604	705	343	248	600	473	576	
187	635	168	630	106	208	256	176	353	316	226	805	524	699	690	87	0	115	272	553	542	454	38	625	521	626	310	170	531	388	504	
297	602	268	643	96	113	342	279	458	201	326	743	631	639	633	192	115	0	383	525	530	423	79	574	459	576	232	57	511	316	479	
178	705	129	595	326	480	142	114	93	580	92	925	253	823	808	233	272	383	0	622	581	546	306	734	663	732	572	433	585	567	575	
692	85	524	232	455	605	481	537	617	537	533	316	741	228	207	626	553	525	622	0	71	103	534	137	172	130	717	505	44	267	50	
666	133	493	168	450	618	439	504	568	566	495	378	682	296	274	609	542	530	581	71	0	126	528	207	234	199	735	516	34	305	71	
600	182	439	286	353	503	408	452	553	442	455	379	692	278	262	529	454	423	546	103	126	0	433	189	145	186	617	403	97	181	60	
225	614	194	624	80	179	276	204	383	279	253	777	555	672	663	122	38	79	306	534	528	433	0	599	492	601	288	133	514	356	485	
782	104	626	354	520	633	596	639	739	536	643	191	871	93	74	704	625	574	734	137	207	189	599	0	124	10	734	541	180	268	170	
689	197	545	401	415	512	532	560	681	413	572	285	828	180	174	604	521	459	663	172	234	145	492	124	0	130	612	423	201	147	169	
782	94	624	344	521	637	593	638	735	541	641	194	866	99	79	705	626	576	732	130	199	186	601	10	130	0	739	544	173	273	165	
432	785	477	864	327	122	563	485	658	208	535	877	825	780	780	343	310	232	572	717	735	617	288	734	612	739	0	223	712	467	676	
353	577	313	641	122	103	380	325	505	147	370	704	678	601	597	248	170	57	433	505	516	403	133	541	423	544	223	0	495	277	461	
662	120	491	202	436	596	444	504	578	539	497	359	699	271	250	600	531	511	585	44	34	97	514	180	201	173	712	495	0	275	39	
565	322	442	465	283	365	451	457	603	274	479	428	763	325	321	473	388	316	567	267	305	181	356	268	147	273	467	277	275	0	236	
642	134	475	238	406	561	435	488	574	501	486	356	702	262	243	576	504	479	575	50	71	60	485	170	169	165	676	461	39	236	0	
