Q:
490
n:
25
Demands:
1	92
2	58
3	80
4	87
5	100
6	71
7	97
8	82
9	88
10	95
11	74
12	68
13	85
14	95
15	53
16	100
17	93
18	75
19	67
20	56
21	89
22	52
23	54
24	51
25	100
Cost-matrix:
0	325	754	289	864	797	930	538	43	761	826	544	290	929	417	774	934	433	391	589	716	748	726	623	861	392	
325	0	893	43	697	959	937	384	306	824	875	510	432	1018	631	834	771	475	143	761	847	776	505	745	837	691	
754	893	0	890	758	91	381	668	725	200	240	467	481	212	357	208	781	426	1029	175	47	284	825	148	424	554	
289	43	890	0	731	954	952	413	273	831	885	525	421	1023	616	841	805	479	139	753	845	787	543	744	856	663	
864	697	758	731	0	849	500	331	823	568	561	382	669	722	800	564	75	518	815	767	721	479	220	664	386	1012	
797	959	91	954	849	0	454	754	771	287	320	553	538	249	385	294	871	502	1093	208	134	373	914	224	508	553	
930	937	381	952	500	454	0	590	890	207	145	427	644	245	635	193	492	501	1079	495	369	184	654	387	120	867	
538	384	668	413	331	754	590	0	497	533	565	203	387	728	565	538	403	280	517	602	622	461	209	532	478	741	
43	306	725	273	823	771	890	497	0	725	788	502	254	896	395	737	893	392	386	563	685	709	687	590	820	394	
761	824	200	831	568	287	207	533	725	0	69	336	472	197	433	15	586	354	966	289	174	90	660	181	226	662	
826	875	240	885	561	320	145	565	788	69	0	375	537	168	501	55	570	411	1018	352	225	105	674	247	192	729	
544	510	467	525	382	553	427	203	502	336	375	0	298	532	420	342	438	138	652	416	421	272	371	335	333	631	
290	432	481	421	669	538	644	387	254	472	537	298	0	643	207	485	731	164	559	333	439	461	595	341	585	355	
929	1018	212	1023	722	249	245	728	896	197	168	532	643	0	556	191	724	544	1159	379	230	270	841	309	339	763	
417	631	357	616	800	385	635	565	395	433	501	420	207	556	0	447	851	291	750	183	327	462	768	257	613	235	
774	834	208	841	564	294	193	538	737	15	55	342	485	191	447	0	580	365	975	302	184	87	661	195	217	676	
934	771	781	805	75	871	492	403	893	586	570	438	731	724	851	580	0	576	888	805	746	498	288	698	385	1068	
433	475	426	479	518	502	501	280	392	354	411	138	164	544	291	365	576	0	615	328	379	322	479	279	429	494	
391	143	1029	139	815	1093	1079	517	386	966	1018	652	559	1159	750	975	888	615	0	891	984	918	611	882	978	779	
589	761	175	753	767	208	495	602	563	289	352	416	333	379	183	302	805	328	891	0	149	345	786	115	501	387	
716	847	47	845	721	134	369	622	685	174	225	421	439	230	327	184	746	379	984	149	0	253	781	102	399	535	
748	776	284	787	479	373	184	461	709	90	105	272	461	270	462	87	498	322	918	345	253	0	575	230	157	696	
726	505	825	543	220	914	654	209	687	660	674	371	595	841	768	661	288	479	611	786	781	575	0	702	534	950	
623	745	148	744	664	224	387	532	590	181	247	335	341	309	257	195	698	279	882	115	102	230	702	0	387	482	
861	837	424	856	386	508	120	478	820	226	192	333	585	339	613	217	385	429	978	501	399	157	534	387	0	847	
392	691	554	663	1012	553	867	741	394	662	729	631	355	763	235	676	1068	494	779	387	535	696	950	482	847	0	
