Q:
548
n:
30
Demands:
1	74
2	68
3	85
4	95
5	53
6	100
7	93
8	75
9	67
10	56
11	89
12	52
13	54
14	51
15	100
16	50
17	84
18	53
19	81
20	53
21	96
22	75
23	64
24	71
25	97
26	66
27	62
28	70
29	82
30	79
Cost-matrix:
0	69	336	472	197	433	15	586	354	966	289	174	90	660	181	226	662	437	450	660	255	411	555	721	735	425	557	402	216	730	711	
69	0	375	537	168	501	55	570	411	1018	352	225	105	674	247	192	729	500	451	691	322	479	612	789	791	478	621	469	148	760	777	
336	375	0	298	532	420	342	438	138	652	416	421	272	371	335	333	631	509	261	332	266	372	280	647	447	143	591	308	490	401	683	
472	537	298	0	643	207	485	731	164	559	333	439	461	595	341	585	355	331	555	481	231	164	164	354	308	177	359	100	681	534	403	
197	168	532	643	0	556	191	724	544	1159	379	230	270	841	309	339	763	517	616	854	414	548	744	837	923	618	638	560	182	924	807	
433	501	420	207	556	0	447	851	291	750	183	327	462	768	257	613	235	126	676	672	195	50	370	289	501	348	172	124	647	730	286	
15	55	342	485	191	447	0	580	365	975	302	184	87	661	195	217	676	450	448	665	268	425	566	735	745	435	570	416	202	735	725	
586	570	438	731	724	851	580	0	576	888	805	746	498	288	698	385	1068	925	177	433	675	805	662	1083	777	558	1020	744	574	469	1120	
354	411	138	164	544	291	365	576	0	615	328	379	322	479	279	429	494	393	399	399	179	242	201	509	381	81	462	173	548	464	545	
966	1018	652	559	1159	750	975	888	615	0	891	984	918	611	882	978	779	874	773	456	771	716	420	711	251	542	859	658	1142	430	804	
289	352	416	333	379	183	302	805	328	891	0	149	345	786	115	501	387	149	640	725	152	190	481	459	640	406	270	234	491	791	432	
174	225	421	439	230	327	184	746	379	984	149	0	253	781	102	399	535	291	597	751	213	323	565	607	737	460	413	347	351	820	580	
90	105	272	461	270	462	87	498	322	918	345	253	0	575	230	157	696	488	362	586	270	431	519	745	697	382	603	408	227	655	746	
660	674	371	595	841	768	661	288	479	611	786	781	575	0	702	534	950	871	244	164	636	718	476	940	540	424	938	646	736	183	997	
181	247	335	341	309	257	195	698	279	882	115	102	230	702	0	387	482	259	537	659	112	242	463	545	636	360	377	253	391	728	531	
226	192	333	585	339	613	217	385	429	978	501	399	157	534	387	0	847	644	294	589	419	579	609	891	779	470	758	546	203	654	898	
662	729	631	355	763	235	676	1068	494	779	387	535	696	950	482	847	0	250	892	829	429	272	493	95	557	529	140	325	873	877	52	
437	500	509	331	517	126	450	925	393	874	149	291	488	871	259	644	250	0	754	786	251	169	494	332	626	459	123	242	638	847	291	
450	451	261	555	616	676	448	177	399	773	640	597	362	244	537	294	892	754	0	333	504	629	498	907	629	385	845	568	497	388	943	
660	691	332	481	854	672	665	433	399	456	725	751	586	164	659	589	829	786	333	0	574	623	339	809	380	327	836	548	781	70	874	
255	322	266	231	414	195	268	675	179	771	152	213	270	636	112	419	429	251	504	574	0	162	353	476	525	259	351	149	470	640	480	
411	479	372	164	548	50	425	805	242	716	190	323	431	718	242	579	272	169	629	623	162	0	326	314	466	298	221	75	626	682	323	
555	612	280	164	744	370	566	662	201	420	481	565	519	476	463	609	493	494	498	339	353	326	0	470	180	141	518	256	746	384	537	
721	789	647	354	837	289	735	1083	509	711	459	607	745	940	545	891	95	332	907	809	476	314	470	0	504	530	232	351	935	851	96	
735	791	447	308	923	501	745	777	381	251	640	737	697	540	636	779	557	626	629	380	525	466	180	504	0	316	620	407	924	395	590	
425	478	143	177	618	348	435	558	81	542	406	460	382	424	360	470	529	459	385	327	259	298	141	530	316	0	515	224	608	389	578	
557	621	591	359	638	172	570	1020	462	859	270	413	603	938	377	758	140	123	845	836	351	221	518	232	620	515	0	293	760	892	174	
402	469	308	100	560	124	416	744	173	658	234	347	408	646	253	546	325	242	568	548	149	75	256	351	407	224	293	0	617	607	376	
216	148	490	681	182	647	202	574	548	1142	491	351	227	736	391	203	873	638	497	781	470	626	746	935	924	608	760	617	0	848	920	
730	760	401	534	924	730	735	469	464	430	791	820	655	183	728	654	877	847	388	70	640	682	384	851	395	389	892	607	848	0	921	
711	777	683	403	807	286	725	1120	545	804	432	580	746	997	531	898	52	291	943	874	480	323	537	96	590	578	174	376	920	921	0	
