Q:
459
n:
25
Demands:
1	62
2	96
3	65
4	50
5	84
6	53
7	87
8	75
9	66
10	55
11	94
12	72
13	78
14	75
15	87
16	50
17	86
18	87
19	55
20	92
21	82
22	93
23	62
24	59
25	74
Cost-matrix:
0	652	553	848	634	1255	858	447	1007	790	700	997	1104	536	813	984	589	1076	807	340	663	488	618	332	39	746	
652	0	101	271	94	893	921	306	727	831	49	920	665	684	334	563	842	693	698	499	834	165	854	515	665	665	
553	101	0	351	128	941	894	245	753	804	149	916	723	632	387	614	784	740	690	425	787	68	799	441	567	650	
848	271	351	0	230	648	844	415	529	761	246	783	409	697	132	325	859	455	588	600	819	391	863	617	851	578	
634	94	128	230	0	817	830	239	640	740	118	827	596	603	260	488	763	616	605	437	750	162	774	454	641	573	
1255	893	941	648	817	0	681	843	257	657	882	485	243	813	560	330	913	201	505	918	817	948	895	928	1239	558	
858	921	894	844	830	681	0	662	468	90	945	211	714	326	714	652	306	625	262	569	207	852	278	566	827	267	
447	306	245	415	239	843	662	0	615	573	347	712	667	387	366	546	540	651	488	198	544	193	555	215	445	438	
1007	727	753	529	640	257	468	615	0	424	728	310	253	557	409	229	665	159	253	668	574	747	649	677	989	303	
790	831	804	761	740	657	90	573	424	0	856	226	660	254	633	588	274	576	192	488	171	763	250	486	760	184	
700	49	149	246	118	882	945	347	728	856	0	934	650	719	326	553	879	684	716	542	867	213	890	559	713	686	
997	920	916	783	827	485	211	712	310	226	934	0	561	467	652	527	498	466	227	675	395	888	473	677	970	275	
1104	665	723	409	596	243	714	667	253	660	650	561	0	741	337	121	873	96	474	782	793	740	863	795	1094	508	
536	684	632	697	603	813	326	387	557	254	719	467	741	0	588	638	164	677	312	249	160	578	172	244	507	256	
813	334	387	132	260	560	714	366	409	633	326	652	337	588	0	230	748	360	457	528	701	405	749	544	810	449	
984	563	614	325	488	330	652	546	229	588	553	527	121	638	230	0	779	132	397	664	705	626	771	677	975	420	
589	842	784	859	763	913	306	540	665	274	879	498	873	164	748	779	0	801	412	375	104	727	31	364	554	368	
1076	693	740	455	616	201	625	651	159	576	684	466	96	677	360	132	801	0	394	745	716	748	788	757	1063	434	
807	698	690	588	605	505	262	488	253	192	716	227	474	312	457	397	412	394	0	472	323	662	397	477	784	61	
340	499	425	600	437	918	569	198	668	488	542	675	782	249	528	664	375	745	472	0	406	363	395	18	322	412	
663	834	787	819	750	817	207	544	574	171	867	395	793	160	701	705	104	716	323	406	0	736	80	399	630	287	
488	165	68	391	162	948	852	193	747	763	213	888	740	578	405	626	727	748	662	363	736	0	743	377	501	617	
618	854	799	863	774	895	278	555	649	250	890	473	863	172	749	771	31	788	397	395	80	743	0	385	583	356	
332	515	441	617	454	928	566	215	677	486	559	677	795	244	544	677	364	757	477	18	399	377	385	0	313	417	
39	665	567	851	641	1239	827	445	989	760	713	970	1094	507	810	975	554	1063	784	322	630	501	583	313	0	723	
746	665	650	578	573	558	267	438	303	184	686	275	508	256	449	420	368	434	61	412	287	617	356	417	723	0	
